rr,il,ol,request_throughput,mean_ttft_ms,mean_tpot_ms,mean_e2e_latency_ms,input_throughput,output_throughput,completed,prefix_cache_reused_ratio,mean_kv_transfer_ms,mean_decode_queue_ms
1,256,128,0.9977547514449447,20.6001950552808,11.61346465334909,740.7879066432961,135.5799044000963,62.84358301975984,200,0.0,,
1,256,512,0.9810869401533537,23.488032053192217,12.033253754369072,2985.022302183387,133.31499886273846,242.62770573462512,200,0.0,,
1,1024,128,0.9977547514449447,39.33582056271289,12.045148917670685,784.3030233031877,549.0444846251241,62.84358301975984,200,0.0,,
1,1024,512,0.9809489011606146,42.17647948765484,12.44342321693298,3097.1118677640115,539.796561330663,242.59356800152582,200,0.0,,
1,2048,128,0.9977547514449447,68.55011682632323,12.612718139073655,847.9012884219492,1160.9824400075804,62.84358301975984,200,0.0,,
1,2048,512,0.9802511296715202,72.10630829388248,13.055868949594986,3266.368765641041,1140.6153132301324,242.42100562341528,200,0.0,,
2,256,128,1.9870873040239951,22.24094261887248,11.97344207801263,764.7317028604564,270.0153583073006,125.15669384395133,200,0.0,,
2,256,512,1.9103535455224219,23.17718168199499,12.590495077309733,3123.580854181025,259.5883915333143,472.43998357542256,200,0.0,,
2,1024,128,1.9869556374392214,43.12467315763168,12.645635143564373,826.320146397381,1093.3819481700548,125.14840082410936,200,0.0,,
2,1024,512,1.90932147133059,44.499568498621315,13.333754906308299,3324.9687835714612,1050.6614192437971,472.18474646741157,200,0.0,,
2,2048,128,1.986883960226797,75.75092210471854,13.675727005357878,918.885268911677,2311.9282417000995,125.1438862348848,200,0.0,,
2,2048,512,1.9066443900189478,77.07954203148181,14.680926966249347,3676.6050877801954,2218.5618790040976,471.52269087363584,200,0.0,,
4,256,128,3.9409881134009828,23.370510439239276,12.686999774858936,809.9704134163374,535.5211697894925,248.2231363225609,200,0.0,,
4,256,512,3.6244241625406706,23.93074809549385,13.428443622809084,3328.8229715922016,492.50487732683905,896.3382175171206,200,0.0,,
4,1024,128,3.940374140706688,46.80775916804598,14.013475406723916,915.3131408720028,2168.3090821480764,248.18446525241075,200,0.0,,
4,1024,512,3.617922512953073,47.54174641443216,15.135109302978526,3767.4572689613115,1990.870400427817,894.7303270658597,200,0.0,,
4,2048,128,3.9399550071092464,86.9036196611454,16.938933291201415,1109.0316837626376,4584.511946497283,248.1580661227759,200,0.0,,
4,2048,512,3.6001183056435453,87.58280999983643,18.82630228845624,4695.402534772431,4189.079659855301,890.327257577177,200,0.0,,
8,256,128,7.747986822114461,24.742907846124556,14.128002679575207,893.2106506753044,1052.8351893230235,488.0069499908793,200,0.0,,
8,256,512,6.543622884256074,25.154343858352615,15.204192909680385,3765.0606748338723,889.1801956271365,1618.2706573909484,200,0.0,,
8,1024,128,7.741595889170589,52.746995401841254,17.208672551092867,1104.611994499755,4260.045385892791,487.60441707940953,200,0.0,,
8,1024,512,6.463105266029576,54.14622673369626,20.773844814997958,5110.997771652896,3556.5175657907553,1598.3582478154442,200,0.0,,
8,2048,128,7.72491263114785,112.25569979982794,25.838249031714295,1656.607014714882,8988.669713040483,486.5536220728473,200,0.0,,
8,2048,512,6.081946449743262,116.85051184619805,38.12284617188769,9308.986171621003,7076.92247918901,1504.0957667537573,200,0.0,,
12,256,128,11.40654435524848,25.122920156969112,15.340201581802184,969.3154998548653,1549.9782797129396,718.4411962153255,200,0.0,,
12,256,512,8.874293040156232,26.183359014598622,17.500537548862813,4305.230675439989,1205.8833097616296,2194.657040295837,200,0.0,,
12,1024,128,11.337097041817136,59.98219483745936,21.61865482626815,1367.636370317372,6238.577760171133,714.0670571788523,200,0.0,,
12,1024,512,8.457194031481142,61.83674846628273,27.346406715812197,6671.083533326041,4653.824731643444,2091.506369955444,200,0.0,,
12,2048,128,11.050411815278512,158.21354047611908,49.31461997070453,3062.3418421028955,12858.203936199001,696.0101881853171,200,0.0,,
12,2048,512,7.181706231866781,162.069430123002,53.285909078510244,11850.951838872237,8356.597462869027,1776.0718596718143,200,0.0,,
