rr,il,ol,hisim_req_thr,sg_req_thr,hisim_ttft,sg_ttft,hisim_tpot,sg_tpot,hisim_e2e,sg_e2e,hisim_prefix_reuse,completed_hisim,completed_sglang
1,256,128,0.9977547514449449,0.9962597736030644,20.6001950552808,43.19471569484449,11.61346465334909,11.424467491776392,740.7879066432961,751.4689491599711,0.0,200,200
1,256,512,0.9810869401533536,0.9801482811720806,23.488032053192217,53.3848864249012,12.033253754369072,11.75320683232451,2985.022302183387,2951.445262524976,0.0,200,200
1,1024,128,0.9977547514449449,0.9962278692372626,39.33582056271289,70.93899095496454,12.045148917670684,11.500227702037453,784.3030233031877,783.9335383201251,0.0,200,200
1,1024,512,0.9809489011606146,0.9800196529299638,42.17647948765484,80.54976082039502,12.44342321693298,11.935545337316649,3097.1118677640115,3024.266062650495,0.0,200,200
1,2048,128,0.9977547514449449,0.9961538628953562,68.55011682632323,107.45801939981902,12.612718139073657,11.59023907520684,847.9012884219492,827.1436113201344,0.0,200,200
1,2048,512,0.9802511296715202,0.9794471585507898,72.10630829388248,117.9784670547815,13.055868949594986,12.210054325532496,3266.368765641041,3128.731200324873,0.0,200,200
2,256,128,1.9870873040239951,1.9828926173224184,22.24094261887248,47.77950645009696,11.97344207801263,11.540647491812967,764.7317028604564,762.8302609049933,0.0,200,200
2,256,512,1.9103535455224216,1.907340382858132,23.17718168199499,55.22289691518381,12.590495077309733,12.10112904107779,3123.580854181025,3040.172015025346,0.0,200,200
2,1024,128,1.9869556374392212,1.9827049180962992,43.12467315763168,78.15336126972397,12.645635143564371,11.646434500051994,826.320146397381,799.5907532196725,0.0,200,200
2,1024,512,1.90932147133059,1.9061450812221248,44.49956849862132,83.83318832537043,13.3337549063083,12.429761704566872,3324.968783571461,3150.8509019051417,0.0,200,200
2,2048,128,1.986883960226797,1.982515783656703,75.75092210471854,118.9999037945745,13.675727005357878,11.768402274542844,918.885268911677,850.1727242447669,0.0,200,200
2,2048,512,1.906644390018948,1.9032919928996264,77.07954203148181,124.4691348298511,14.680926966249348,12.913751764224155,3676.6050877801954,3311.3317245699727,0.0,200,200
4,256,128,3.940988113400983,3.926187892743578,23.37051043923928,52.05051132998051,12.686999774858936,11.761264670357608,809.9704134163374,780.5710801199893,0.0,200,200
4,256,512,3.624424162540671,3.614184521466487,23.93074809549385,58.71045103540382,13.428443622809084,12.901856496603113,3328.8229715922016,3241.947020170228,0.0,200,200
4,1024,128,3.940374140706688,3.925869773733812,46.80775916804598,83.04819914996187,14.013475406723916,11.92837602386377,915.3131408720028,822.5866651702017,0.0,200,200
4,1024,512,3.617922512953073,3.6067004536027705,47.54174641443216,89.32339672501257,15.135109302978526,13.613383062415885,3767.457268961312,3451.4759228000185,0.0,200,200
4,2048,128,3.9399550071092464,3.9261323601651537,86.9036196611454,135.60031200526282,16.938933291201415,12.181047082954246,1109.0316837626376,892.14665415544,0.0,200,200
4,2048,512,3.6001183056435453,3.5874191507192665,87.58280999983643,141.16956509016745,18.82630228845624,14.747058750585053,4695.402534772431,3787.46272194021,0.0,200,200
8,256,128,7.747986822114461,7.69817563586474,24.74290784612456,54.42580067530798,14.128002679575207,12.130778999784829,893.2106506753044,806.2782515454455,0.0,200,200
8,256,512,6.543622884256074,6.46074723437999,25.15434385835261,66.14037810999434,15.204192909680383,14.915427130422776,3765.060674833872,3744.194529514898,0.0,200,200
8,1024,128,7.741595889170589,7.690457260329868,52.74699540184125,93.98324480520388,17.208672551092867,12.452870523297518,1104.611994499755,865.9425140651365,0.0,200,200
8,1024,512,6.463105266029576,6.395721130556196,54.14622673369626,104.2784640998434,20.77384481499796,16.408900004909253,5110.997771652896,4148.801947969951,0.0,200,200
8,2048,128,7.72491263114785,7.673904422494479,112.25569979982794,167.22913343539403,25.83824903171429,12.89289038620082,1656.607014714882,968.4340775499732,0.0,200,200
8,2048,512,6.081946449743262,6.274364114662622,116.85051184619805,187.8458000903265,38.12284617188769,19.15977831883821,9308.986171621003,4905.816851555173,0.0,200,200
12,256,128,11.40654435524848,11.302238535107708,25.122920156969112,56.84058546990855,15.340201581802184,12.353045721561896,969.3154998548652,821.5544661849344,0.0,200,200
12,256,512,8.874293040156232,8.696234674178022,26.183359014598626,71.76964796013635,17.500537548862813,16.014889751044596,4305.230675439989,4015.7875202549258,0.0,200,200
12,1024,128,11.337097041817136,11.284003505102678,59.98219483745936,105.94090981998306,21.61865482626815,12.865644003945594,1367.636370317372,903.7363786047716,0.0,200,200
12,1024,512,8.457194031481142,8.498371324506635,61.83674846628273,122.64960950000386,27.3464067158122,18.25009549310752,6671.083533326041,4616.77394270504,0.0,200,200
12,2048,128,11.050411815278512,11.222311352733264,158.21354047611908,234.5334984799047,49.31461997070453,13.504900285748198,3062.3418421028955,1074.3822253098915,0.0,200,200
12,2048,512,7.181706231866781,8.107651437627355,162.069430123002,257.1067666249656,53.28590907851024,22.512487676637797,11850.951838872235,5801.731818564913,0.0,200,200
