rr,il,ol,request_throughput,mean_ttft_ms,mean_tpot_ms,mean_e2e_latency_ms,output_throughput,completed
1,256,128,1.008973801969776,44.01110118255019,11.43686799358906,794.8083460703492,67.21278981821663,200
2,256,128,2.0164162881961354,47.90678947698325,11.574494968629221,805.6423518806696,134.32357103818555,200
4,256,128,3.9697061538651908,53.34873467218131,11.825581917207955,826.2372088944539,264.4419754397297,200
8,256,128,7.700448872407702,55.97412270959467,12.195853625664464,852.2675419179723,512.9654016354391,200
12,256,128,11.212415973501827,58.75857373699546,12.513117062850833,874.8883791454136,746.9150900748242,200
1,1024,128,1.0089551883032826,69.43360326811671,11.509326936193533,824.1304660029709,67.21154986882317,200
2,1024,128,2.01587186009351,75.34421466290951,11.661014773019085,838.9196180179715,134.28730396012918,200
4,1024,128,3.968652581223211,82.92885060887784,11.977258200884537,865.7195749506354,264.3717916981842,200
8,1024,128,7.691443707448326,91.91927566193044,12.515659122630087,908.0248484760523,512.3655225716702,200
12,1024,128,11.170353171197167,103.77249617595226,12.963854054591922,951.5982697345316,744.1130764992994,200
1,2048,128,1.0090292319607386,104.75177442654967,11.617434997467626,866.1217341339216,67.2164822870646,200
2,2048,128,2.014233192835618,119.41737398505211,11.804899386717944,892.2186393011361,134.1781441407447,200
4,2048,128,3.962019895899459,132.58566244505346,12.215847195588653,931.2587012723088,263.92995536534244,200
8,2048,128,7.650365629651384,163.52198544889688,12.970222211435713,1010.5967764556407,509.62910641922696,200
12,2048,128,11.135364239512107,223.25435833539814,13.872743286464493,1124.4286964461207,741.7822888150989,200
1,256,512,1.0070648711542272,52.00249798595905,11.818458740036967,3130.753635172732,263.66468924124393,200
2,256,512,1.9929861605391592,55.887113218195736,12.167360943663082,3226.0057188523933,521.79367162156,200
4,256,512,3.8065937717108276,59.242360475473106,13.188797367449355,3502.9583848593757,996.6233483404703,200
8,256,512,6.754735555317058,66.02338909171522,15.126648325342597,4029.8959934944287,1768.4910894153356,200
12,256,512,8.850987426785725,73.93926416523755,16.124737423864957,4297.978409719653,2317.3212731439044,200
1,1024,512,1.0068285876661196,80.66028781235218,11.970926512166397,3199.4916038261726,263.6028266798051,200
2,1024,512,1.9918900279440843,83.89783240389079,12.451426713883743,3330.3102554380894,521.5066876661805,200
4,1024,512,3.793215004954975,90.09143728297204,13.901687145508014,3725.3360243095085,993.1205865222868,200
8,1024,512,6.6354042936821855,106.1088248854503,16.50445007645861,4440.413452847861,1737.2483751504014,200
12,1024,512,8.588700086260854,118.96674252580851,18.090918624908657,4868.711865697987,2248.6505130843852,200
1,2048,512,1.0064774844472044,116.75857765134424,12.198437407551372,3295.8737840224057,263.5109025905448,200
2,2048,512,1.9900573412900726,125.35735161509365,12.902135568011008,3485.27715603821,521.0268628098604,200
4,2048,512,3.7758870873944566,140.34071271307766,14.893978013361815,4045.3124971641223,988.5838777861796,200
8,2048,512,6.453026129083835,199.50270113069564,18.6372383325428,5112.718094959855,1689.499035986084,200
12,2048,512,8.150524349102323,250.06902955472472,21.24603250772629,5819.430904863402,2133.9295324602244,200
