ol,il,experiment,Req Δ% vs PD,TTFT Δ% vs PD,TPOT Δ% vs PD,E2E Δ% vs PD
128,256,Non-PD DP=2,0.15077643158662232,-30.684472317098592,5.607526193131707,3.991712422921698
128,256,Non-PD TP=2,-4.466134548599275,0.4086670139945965,97.46597438649914,90.94516070674798
128,1024,Non-PD DP=2,0.42278072308287284,-39.205774810093104,18.39255615509148,11.869075149024626
128,1024,Non-PD TP=2,-4.636737312684285,4.196011400617364,170.39540780063723,148.89537998329155
128,2048,Non-PD DP=2,0.11067847022629797,-57.12717594615276,35.30339816726165,17.74584098197776
128,2048,Non-PD TP=2,-5.03180212539637,28.80438368741612,474.8550096431908,295.23440991430186
512,256,Non-PD DP=2,2.8888522033476542,-37.2225349082884,-2.957927007169393,-4.059267429686173
512,256,Non-PD TP=2,-8.828273286910095,-16.4448345017439,48.67337971999392,42.967533285775325
512,1024,Non-PD DP=2,2.5924092315513336,-40.570502202613476,4.668717837436436,2.3078914320159387
512,1024,Non-PD TP=2,-8.676574255027772,-6.448332764885932,76.34786944294383,65.76103553182365
512,2048,Non-PD DP=2,3.5430284273288994,-57.72121264538326,14.092468936089908,8.983527729957284
512,2048,Non-PD TP=2,-10.86394459485652,14.922635298093828,190.76939655093022,109.73027371076805
