rr,il,ol,sg_req_thr,hi_req_thr,sg_ttft,hi_ttft,sg_tpot,hi_tpot,sg_itl,hi_itl,sg_e2e,hi_e2e,sg_p99ttft,hi_p99ttft,sg_out_thr,hi_out_thr
1,256,128,1.0089,0.9384,35.83,9.002,11.279,6.724,11.292,6.721,776.557,425.62,103.659,14.395,67.2076,59.1053
1,256,512,1.0072,0.9299,36.438,10.672,11.515,6.814,11.52,6.823,3040.221,1691.269,49.701,15.583,263.706,229.963
1,1024,128,1.009,0.9384,48.123,14.901,11.464,6.858,11.477,6.849,801.071,439.44,79.705,25.963,67.2138,59.1053
1,1024,512,1.0069,0.9298,55.286,16.476,11.787,6.941,11.803,6.944,3132.849,1726.939,86.858,28.607,263.6233,229.9436
1,2048,128,1.009,0.9384,72.157,27.004,11.743,6.969,11.763,6.939,843.791,457.139,126.394,49.593,67.2122,59.1053
1,2048,512,1.0063,0.9296,81.819,28.752,12.164,7.062,12.196,7.059,3261.81,1767.436,133.708,50.285,263.4543,229.9003
2,256,128,2.0167,1.8725,31.183,9.76,11.379,6.784,11.412,6.782,779.771,430.163,46.884,15.186,134.3405,117.9389
2,256,512,1.9938,1.8326,39.852,11.22,11.879,6.916,11.88,6.925,3137.437,1716.851,49.266,15.685,521.9962,453.2109
2,1024,128,2.0169,1.8724,50.795,16.096,11.691,6.969,11.735,6.96,820.64,447.518,80.784,28.792,134.3546,117.9345
2,1024,512,1.992,1.8323,59.635,17.38,12.324,7.108,12.334,7.117,3275.809,1770.396,91.157,28.9,521.5354,453.1284
2,2048,128,2.0143,1.8725,77.078,28.365,12.231,7.187,12.228,7.157,879.203,472.004,133.551,54.308,134.1847,117.9368
2,2048,512,1.99,1.8316,84.422,29.794,12.97,7.391,12.98,7.394,3469.057,1851.007,137.906,58.576,521.0017,452.9518
4,256,128,3.9747,3.7281,35.595,10.853,11.729,6.921,11.73,6.925,805.041,440.109,47.744,15.128,264.7761,234.813
4,256,512,3.8136,3.5606,41.54,11.425,12.49,7.022,12.524,7.024,3307.103,1741.426,55.994,15.9,998.4617,880.5537
4,1024,128,3.9725,3.7278,55.607,17.335,12.35,7.206,12.321,7.215,863.916,464.571,87.488,29.401,264.6251,234.7944
4,1024,512,3.7972,3.5588,60.367,17.552,13.255,7.376,13.288,7.376,3525.164,1834.348,92.941,28.526,994.1742,880.0993
4,2048,128,3.9641,3.7273,82.064,29.957,13.233,7.66,13.252,7.644,951.366,503.752,154.101,64.348,264.0696,234.766
4,2048,512,3.7796,3.554,88.164,30.682,14.437,8.096,14.481,8.081,3863.932,2021.115,163.529,63.352,989.5444,878.9191
8,256,128,7.7195,7.3891,38.134,11.626,12.423,7.15,12.406,7.167,851.946,455.849,48.28,16.219,514.2313,465.4002
8,256,512,6.8602,6.7372,41.875,11.671,13.88,7.26,13.908,7.265,3668.441,1801.158,56.799,16.145,1796.1139,1666.1385
8,1024,128,7.7116,7.3869,58.078,18.244,13.626,7.703,13.646,7.7,953.267,495.527,85.857,31.945,513.709,465.2655
8,1024,512,6.7342,6.721,62.532,18.1,15.965,8.044,16.037,8.052,4244.09,2001.468,97.553,29.875,1763.117,1662.1428
8,2048,128,7.6722,7.3857,89.361,32.667,15.566,8.932,15.72,8.814,1120.545,579.027,178.894,77.298,511.083,465.1874
8,2048,512,6.6006,6.6816,96.057,33.196,19.369,9.971,19.361,9.942,5144.248,2482.003,182.207,77.319,1728.1432,1652.3837
12,256,128,11.2374,10.983,39.639,11.671,13.058,7.393,13.074,7.405,897.261,470.65,52.335,16.198,748.5815,691.7665
12,256,512,9.1168,9.5806,46.198,11.535,15.502,7.62,15.472,7.623,4080.427,1889.115,68.636,16.672,2386.9136,2369.3288
12,1024,128,11.2122,10.975,61.273,18.758,15.139,8.204,15.14,8.174,1054.474,525.446,103.155,39.295,746.9021,691.2606
12,1024,512,8.8313,9.5212,68.715,19.171,18.809,9.011,18.74,9.013,4955.102,2239.051,118.335,40.999,2312.1691,2354.6412
12,2048,128,11.1289,10.9541,95.923,36.206,18.626,10.3,18.718,10.167,1323.784,666.385,189.425,85.747,741.3549,689.9422
12,2048,512,8.4226,9.3883,104.677,36.829,24.314,12.695,24.03,12.666,6370.473,3156.542,194.524,83.295,2205.1664,2321.7857
