metric_key,metric_name,unit,sglang,hisim,delta_hisim_minus_sglang,hisim_vs_sglang_pct
mean_ttft_ms,Mean TTFT,ms,169.7375316749094,17.330294952907717,-152.4072367220017,-89.78994522784764
mean_tpot_ms,Mean TPOT,ms,13.587108393373772,7.206087174674123,-6.381021218699648,-46.963791220003635
mean_itl_ms,Mean ITL,ms,13.302992471933354,7.21521260498201,-6.087779866951345,-45.76248449208206
mean_e2e_latency_ms,Mean E2E Latency,ms,1042.444901378767,464.5652482727176,-577.8796531060495,-55.43503089148688
request_throughput,Request Throughput,req/s,3.972819545083825,3.7277823461606574,-0.24503719892316767,-6.16784115519139
output_throughput,Output Throughput,tok/s,264.649373995759,234.794371072929,-29.855002922829982,-11.280964875174204
p99_ttft_ms,P99 TTFT,ms,2711.081628534588,29.401495542121797,-2681.6801329924665,-98.91550681349221
p99_tpot_ms,P99 TPOT,ms,39.61602887540641,8.353938763890293,-31.262090111516116,-78.91273052590991
p99_itl_ms,P99 ITL,ms,50.421053619356776,22.668606772137874,-27.752446847218902,-55.04138619698471
